date,signal_date,symbol,action,side,qty,price,trade_value,fee,reason
2024-02-22,2024-02-21,ETHUSDT,OPEN,BUY,100.7615590564036,2969.3939549999996,299200.7643584603,119.68030574338414,signal_open_with_atr_risk
2024-02-28,2024-02-27,BTCUSDT,CLOSE,SELL,7.667499467953283,57008.831325,437115.1838530759,174.84607354123037,signal_or_risk_exit
2024-02-29,2024-02-28,BTCUSDT,OPEN,BUY,6.1341388869524165,62463.326055,383158.7173623636,153.26348694494544,signal_open_with_atr_risk
2024-03-12,2024-03-11,ETHUSDT,CLOSE,SELL,100.7615590564036,4062.7676000000006,409370.79745984316,163.74831898393728,signal_or_risk_exit
2024-03-13,2024-03-12,ETHUSDT,OPEN,BUY,67.20214900266471,3981.9599849999995,267596.26823461853,107.03850729384742,signal_open_with_atr_risk
2024-03-18,2024-03-17,ETHUSDT,CLOSE,SELL,67.20214900266471,3642.87765,244809.20663377707,97.92368265351084,signal_or_risk_exit
2024-03-20,2024-03-19,BTCUSDT,CLOSE,SELL,6.1341388869524165,61906.441295000004,379742.7089004964,151.89708356019858,signal_or_risk_exit
2024-03-26,2024-03-25,BTCUSDT,OPEN,BUY,3.1313357250337854,69914.94,218927.14933559363,87.57085973423746,signal_open_with_atr_risk
2024-03-26,2024-03-25,ETHUSDT,OPEN,BUY,53.63011651498381,3592.2252149999995,192651.45682851275,77.0605827314051,signal_open_with_atr_risk
2024-03-28,2024-03-27,ETHUSDT,CLOSE,SELL,53.63011651498381,3499.4494,187675.8790602902,75.07035162411609,signal_or_risk_exit
2024-03-29,2024-03-28,ETHUSDT,OPEN,BUY,58.50774767766079,3562.2702449999997,208420.40865409886,83.36816346163955,signal_open_with_atr_risk
2024-03-31,2024-03-30,ETHUSDT,CLOSE,SELL,58.50774767766079,3503.897175,205005.13180336845,82.00205272134738,signal_or_risk_exit
2024-04-02,2024-04-01,ETHUSDT,OPEN,BUY,66.21098239533629,3505.5519,232106.0351368377,92.84241405473507,signal_open_with_atr_risk
2024-04-03,2024-04-02,BTCUSDT,CLOSE,SELL,3.1313357250337854,65431.258005,204887.23572495938,81.95489428998376,signal_or_risk_exit
2024-04-04,2024-04-03,ETHUSDT,CLOSE,SELL,66.21098239533629,3309.174585,219103.7001905293,87.64148007621172,signal_or_risk_exit
2024-04-05,2024-04-04,BTCUSDT,OPEN,BUY,4.427390992789536,68522.0439,303373.8799703892,121.34955198815568,signal_open_with_atr_risk
2024-04-09,2024-04-08,ETHUSDT,OPEN,BUY,74.45258120109696,3696.457305,275210.78765690053,110.08431506276021,signal_open_with_atr_risk
2024-04-13,2024-04-12,BTCUSDT,CLOSE,SELL,4.427390992789536,67082.96174000001,297002.5005773211,118.80100023092845,signal_or_risk_exit
2024-04-13,2024-04-12,ETHUSDT,CLOSE,SELL,74.45258120109696,3235.8012900000003,240913.75829433932,96.36550331773573,signal_or_risk_exit
2024-04-28,2024-04-27,ETHUSDT,OPEN,BUY,82.28553130788866,3257.177775,268018.60378012166,107.20744151204867,signal_open_with_atr_risk
2024-04-30,2024-04-29,ETHUSDT,CLOSE,SELL,82.28553130788866,3215.13163,264558.8143993481,105.82352575973924,signal_or_risk_exit
2024-05-10,2024-05-09,BTCUSDT,OPEN,BUY,4.470530586757665,63105.537,282115.23335226753,112.84609334090702,signal_open_with_atr_risk
2024-05-12,2024-05-11,BTCUSDT,CLOSE,SELL,4.470530586757665,60795.577005,271788.4865404334,108.71539461617337,signal_or_risk_exit
2024-05-14,2024-05-13,BTCUSDT,OPEN,BUY,4.927401937325515,62971.56004499999,310286.18696214294,124.11447478485718,signal_open_with_atr_risk
2024-05-21,2024-05-20,ETHUSDT,OPEN,BUY,82.92317362897228,3663.6208949999996,303799.07158681576,121.5196286347263,signal_open_with_atr_risk
2024-05-30,2024-05-29,BTCUSDT,CLOSE,SELL,4.927401937325515,67618.58379500001,333183.9407906907,133.2735763162763,signal_or_risk_exit
2024-06-12,2024-06-11,ETHUSDT,CLOSE,SELL,82.92317362897228,3495.5813350000003,289864.69797639974,115.9458791905599,signal_or_risk_exit
2024-07-21,2024-07-20,BTCUSDT,OPEN,BUY,4.821410081763355,67173.539985,323871.18291141285,129.54847316456514,signal_open_with_atr_risk
2024-07-26,2024-07-25,ETHUSDT,OPEN,BUY,84.41217811028508,3177.0577349999994,268182.36339347885,107.27294535739155,signal_open_with_atr_risk
2024-07-28,2024-07-27,ETHUSDT,CLOSE,SELL,84.41217811028508,3247.3755,274118.0390969761,109.64721563879044,signal_or_risk_exit
2024-08-01,2024-07-31,BTCUSDT,CLOSE,SELL,4.821410081763355,64595.69599500001,311442.3399088138,124.57693596352554,signal_or_risk_exit
2024-10-13,2024-10-12,BTCUSDT,OPEN,BUY,6.154800773231516,63237.833115,389216.2641536876,155.68650566147502,signal_open_with_atr_risk
2024-11-05,2024-11-04,BTCUSDT,CLOSE,SELL,6.154800773231516,67816.084995,417394.4923647602,166.95779694590408,signal_or_risk_exit
2024-11-06,2024-11-05,BTCUSDT,OPEN,BUY,4.848078263731025,69406.69600499999,336489.0942592274,134.59563770369095,signal_open_with_atr_risk
2024-11-21,2024-11-20,BTCUSDT,CLOSE,SELL,4.848078263731025,94239.41672000001,456880.06778692215,182.75202711476888,signal_or_risk_exit
2024-11-22,2024-11-21,BTCUSDT,OPEN,BUY,3.516645486015689,98366.27855999999,345919.3294741858,138.36773178967434,signal_open_with_atr_risk
2024-11-28,2024-11-27,ETHUSDT,OPEN,BUY,76.60782605428709,3655.096635,280009.00722569006,112.00360289027603,signal_open_with_atr_risk
2024-12-19,2024-12-18,ETHUSDT,CLOSE,SELL,76.60782605428709,3624.9866,277702.3429019216,111.08093716076864,signal_or_risk_exit
2024-12-24,2024-12-23,BTCUSDT,CLOSE,SELL,3.516645486015689,94834.029265,333497.660935442,133.39906437417682,signal_or_risk_exit
