symbol,funding_time,funding_rate,mark_price
ETHUSDT,2021-04-01 16:00:00.004000+00:00,0.00064672,
ETHUSDT,2021-04-02 00:00:00+00:00,0.00050452,
ETHUSDT,2021-04-02 08:00:00+00:00,0.00121799,
ETHUSDT,2021-04-02 16:00:00+00:00,0.00116568,
ETHUSDT,2021-04-03 00:00:00.003000+00:00,0.00082856,
ETHUSDT,2021-04-03 08:00:00+00:00,0.00143194,
ETHUSDT,2021-04-03 16:00:00+00:00,0.00086456,
ETHUSDT,2021-04-04 00:00:00+00:00,0.00060523,
ETHUSDT,2021-04-04 08:00:00+00:00,0.00106146,
ETHUSDT,2021-04-04 16:00:00.016000+00:00,0.00038114,
ETHUSDT,2021-04-05 00:00:00+00:00,0.00072788,
ETHUSDT,2021-04-05 08:00:00.001000+00:00,0.00074688,
ETHUSDT,2021-04-05 16:00:00.001000+00:00,0.00085226,
ETHUSDT,2021-04-06 00:00:00.010000+00:00,0.00161366,
ETHUSDT,2021-04-06 08:00:00+00:00,0.00064189,
ETHUSDT,2021-04-06 16:00:00.003000+00:00,0.00061542,
ETHUSDT,2021-04-07 00:00:00+00:00,0.00049128,
ETHUSDT,2021-04-07 08:00:00.006000+00:00,0.00069613,
ETHUSDT,2021-04-07 16:00:00.004000+00:00,0.00032907,
ETHUSDT,2021-04-08 00:00:00.013000+00:00,0.00021468,
ETHUSDT,2021-04-08 08:00:00.003000+00:00,0.00026979,
ETHUSDT,2021-04-08 16:00:00.005000+00:00,0.00031551,
ETHUSDT,2021-04-09 00:00:00+00:00,0.00038906,
ETHUSDT,2021-04-09 08:00:00.004000+00:00,0.00043318,
ETHUSDT,2021-04-09 16:00:00.004000+00:00,0.00064034,
ETHUSDT,2021-04-10 00:00:00.011000+00:00,0.0001,
ETHUSDT,2021-04-10 08:00:00.005000+00:00,0.00209663,
ETHUSDT,2021-04-10 16:00:00+00:00,0.00120257,
ETHUSDT,2021-04-11 00:00:00.004000+00:00,0.00055892,
ETHUSDT,2021-04-11 08:00:00+00:00,0.00086343,
ETHUSDT,2021-04-11 16:00:00+00:00,0.00091114,
ETHUSDT,2021-04-12 00:00:00.001000+00:00,0.00099657,
ETHUSDT,2021-04-12 08:00:00.001000+00:00,0.00164512,
ETHUSDT,2021-04-12 16:00:00.008000+00:00,0.00067862,
ETHUSDT,2021-04-13 00:00:00.003000+00:00,0.00047138,
ETHUSDT,2021-04-13 08:00:00.008000+00:00,0.00117821,
ETHUSDT,2021-04-13 16:00:00.008000+00:00,0.00167603,
ETHUSDT,2021-04-14 00:00:00.008000+00:00,0.00152762,
ETHUSDT,2021-04-14 08:00:00+00:00,0.00203587,
ETHUSDT,2021-04-14 16:00:00.012000+00:00,0.00095658,
ETHUSDT,2021-04-15 00:00:00.006000+00:00,0.00113562,
ETHUSDT,2021-04-15 08:00:00+00:00,0.00110097,
ETHUSDT,2021-04-15 16:00:00.008000+00:00,0.00104862,
ETHUSDT,2021-04-16 00:00:00.008000+00:00,0.00146805,
ETHUSDT,2021-04-16 08:00:00+00:00,0.00135711,
ETHUSDT,2021-04-16 16:00:00.002000+00:00,0.0010812,
ETHUSDT,2021-04-17 00:00:00.008000+00:00,0.00076639,
ETHUSDT,2021-04-17 08:00:00+00:00,0.0009833,
ETHUSDT,2021-04-17 16:00:00.001000+00:00,0.00063599,
ETHUSDT,2021-04-18 00:00:00.006000+00:00,0.00052118,
ETHUSDT,2021-04-18 08:00:00.004000+00:00,0.00022241,
ETHUSDT,2021-04-18 16:00:00+00:00,0.00044396,
ETHUSDT,2021-04-19 00:00:00+00:00,0.0001,
ETHUSDT,2021-04-19 08:00:00+00:00,0.0001,
ETHUSDT,2021-04-19 16:00:00.009000+00:00,0.0005192,
ETHUSDT,2021-04-20 00:00:00.004000+00:00,0.0001,
ETHUSDT,2021-04-20 08:00:00+00:00,0.00021279,
ETHUSDT,2021-04-20 16:00:00.001000+00:00,0.0001,
ETHUSDT,2021-04-21 00:00:00.013000+00:00,0.0001,
ETHUSDT,2021-04-21 08:00:00.001000+00:00,0.0001,
ETHUSDT,2021-04-21 16:00:00.002000+00:00,0.0001,
ETHUSDT,2021-04-22 00:00:00+00:00,0.00023315,
ETHUSDT,2021-04-22 08:00:00+00:00,0.00011151,
ETHUSDT,2021-04-22 16:00:00.001000+00:00,0.0001,
ETHUSDT,2021-04-23 00:00:00.002000+00:00,0.0003898,
ETHUSDT,2021-04-23 08:00:00.009000+00:00,0.00041263,
